"id","outcome_anxiety","treatment_cellphone","race","gender","income"
1,0,0,"Black","Female","High"
2,0,0,"White","Male","High"
3,0,0,"White","Female","Medium"
4,0,1,"White","Female","Medium"
5,0,0,"White","Female","Medium"
6,0,0,"White","Male","Medium"
7,0,0,"Black","Female","Low"
8,0,1,"White","Male","High"
9,0,1,"White","Male","High"
10,1,1,"Other","Female","Low"
11,0,0,"Black","Male","Low"
12,0,0,"White","Female","High"
13,0,1,"White","Female","High"
14,0,1,"White","Female","Low"
15,0,1,"White","Female","High"
16,1,1,"White","Female","Medium"
17,0,0,"White","Male","High"
18,0,0,"White","Male","Low"
19,0,0,"Other","Male","Medium"
20,0,1,"White","Female","High"
21,0,0,"White","Female","Low"
22,0,1,"Black","Male","High"
23,0,1,"Other","Female","Low"
24,0,1,"White","Male","Medium"
25,1,1,"Other","Female","High"
26,1,1,"White","Female","Medium"
27,0,0,"Black","Male","Low"
28,1,1,"White","Female","Medium"
29,0,1,"White","Male","Low"
30,0,0,"White","Male","Low"
31,0,1,"White","Male","High"
32,0,0,"White","Male","Medium"
33,1,0,"White","Male","Low"
34,0,0,"White","Male","Medium"
35,0,0,"White","Male","Medium"
36,0,1,"White","Male","Medium"
37,0,0,"White","Male","Medium"
38,1,1,"White","Female","Low"
39,1,1,"Other","Male","Medium"
40,1,1,"White","Female","High"
41,0,0,"White","Female","Medium"
42,0,1,"White","Male","Low"
43,1,0,"White","Male","Medium"
44,0,0,"White","Female","Medium"
45,0,0,"Black","Female","Low"
46,0,1,"White","Male","High"
47,0,0,"Black","Male","Low"
48,0,0,"Black","Female","Low"
49,0,0,"White","Female","Medium"
50,0,1,"White","Female","Low"
51,0,0,"White","Male","Low"
52,1,1,"White","Male","Medium"
53,0,0,"White","Female","Medium"
54,0,0,"White","Male","High"
55,0,1,"White","Male","High"
56,0,1,"White","Female","Medium"
57,0,0,"White","Female","Medium"
58,1,0,"White","Female","Medium"
59,0,0,"White","Male","High"
60,0,0,"White","Female","Medium"
61,0,1,"White","Female","Medium"
62,0,1,"White","Female","Low"
63,0,0,"Black","Male","Low"
64,0,0,"White","Female","Low"
65,1,1,"White","Female","Medium"
66,0,0,"White","Male","Medium"
67,0,0,"White","Female","Medium"
68,0,0,"White","Male","High"
69,0,1,"Other","Male","High"
70,0,0,"White","Male","Low"
71,0,0,"White","Male","Medium"
72,0,1,"White","Female","Low"
73,1,0,"Black","Male","Medium"
74,0,1,"White","Male","High"
75,0,0,"White","Female","Low"
76,0,0,"White","Female","Medium"
77,0,0,"Other","Male","High"
78,0,0,"White","Female","High"
79,0,0,"White","Male","High"
80,0,1,"Black","Male","Low"
81,0,1,"White","Male","Low"
82,0,0,"White","Female","High"
83,0,1,"Black","Female","High"
84,0,1,"Black","Male","Medium"
85,0,0,"White","Female","Low"
86,1,1,"White","Female","High"
87,0,1,"White","Male","High"
88,0,1,"White","Male","High"
89,0,1,"Other","Male","Medium"
90,0,1,"Black","Female","Low"
91,0,1,"Black","Female","High"
92,0,1,"White","Female","Medium"
93,0,0,"Black","Male","Low"
94,0,0,"Black","Female","Low"
95,0,0,"Black","Female","Low"
96,0,0,"Black","Male","Medium"
97,0,1,"White","Male","High"
98,1,1,"White","Male","Low"
99,0,0,"White","Male","Low"
100,0,0,"Black","Female","Medium"
101,0,0,"White","Male","High"
102,0,1,"White","Female","Medium"
103,0,0,"White","Male","Low"
104,0,1,"White","Female","High"
105,0,0,"Black","Female","Medium"
106,0,0,"White","Male","Low"
107,0,1,"White","Female","Medium"
108,0,0,"Other","Female","Low"
